oog,name,additional_storage,bundles,ptype,cfs_activity,category_id/id,active_reefer,hazardous_class,status_id/id,size_id/id,sub_category_id/id,id
0,FREE ZONE IMPORT-LOADING ON TRUCK FOR OUTSIDE REEFER 20' FULL,0,0,generic,0,lct_product_category_import,1,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_freezone,fz_iloading_ot_for_outside_reefer_20_f_j17
0,FREE ZONE IMPORT-LOADING ON TRUCK FOR OUTSIDE REEFER 40' FULL,0,0,generic,0,lct_product_category_import,1,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_freezone,fz_iloading_ot_for_outside_reefer_40_f_j17
0,FREE ZONE IMPORT-DESTUFFING PORT YARD DANGEROUS PRODUCTS 20' FULL,0,0,generic,1,lct_product_category_import,0,1,lct_product_status_full,lct_product_size_20,lct_product_sub_category_freezone,fz_idestuffing_port_yard_dangerous_p_20_f_j17
0,FREE ZONE IMPORT-DESTUFFING PORT YARD DANGEROUS PRODUCTS 40' FULL,0,0,generic,1,lct_product_category_import,0,1,lct_product_status_full,lct_product_size_40,lct_product_sub_category_freezone,fz_idestuffing_port_yard_dangerous_p_40_f_j17
0,FREE ZONE IMPORT-LOADING ON TRUCK FOR OUTSIDE DANGEROUS PRODUCTS 20' FULL,0,0,generic,0,lct_product_category_import,0,1,lct_product_status_full,lct_product_size_20,lct_product_sub_category_freezone,fz_iloading_ot_for_outside_dangerous_p_20_f_j17
0,FREE ZONE IMPORT-LOADING ON TRUCK FOR OUTSIDE DANGEROUS PRODUCTS 40' FULL,0,0,generic,0,lct_product_category_import,0,1,lct_product_status_full,lct_product_size_40,lct_product_sub_category_freezone,fz_iloading_ot_for_outside_dangerous_p_40_f_j17
1,FREE ZONE IMPORT-DESTUFFING PORT YARD Out Of Gauge (OOG) 20' FULL,0,0,generic,1,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_freezone,fz_idestuffing_port_yard_out_of_gauge_oog_20_f_j17
1,FREE ZONE IMPORT-DESTUFFING PORT YARD Out Of Gauge (OOG) 40' FULL,0,0,generic,1,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_freezone,fz_idestuffing_port_yard_out_of_gauge_oog_40_f_j17
1,FREE ZONE IMPORT-LOADING ON TRUCK FOR OUTSIDE Out Of Gauge (OOG) 20' FULL,0,0,generic,0,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_freezone,fz_iloading_ot_for_outside_out_of_gauge_oog_20_f_j17
1,FREE ZONE IMPORT-LOADING ON TRUCK FOR OUTSIDE Out Of Gauge (OOG) 40' FULL,0,0,generic,0,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_freezone,fz_iloading_ot_for_outside_out_of_gauge_oog_40_f_j17
0,HINTERLAND IMPORT - DESTUFFING PORT YARD 20' FULL,0,0,generic,1,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitsahel,hinterland_idestuffing_port_yard_20_f_j17
0,HINTERLAND IMPORT - DESTUFFING PORT YARD 40' FULL,0,0,generic,1,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitsahel,hinterland_idestuffing_port_yard_40_f_j17
0,HINTERLAND IMPORT - LOADING ON TRUCK 20' FULL,0,0,generic,0,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitsahel,hinterland_iloading_ot_20_f_j17
0,HINTERLAND IMPORT - LOADING ON TRUCK 40' FULL,0,0,generic,0,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitsahel,hinterland_iloading_ot_40_f_j17
0,HINTERLAND IMPORT - DESTUFFING PORT YARD REEFER 20' FULL,0,0,generic,1,lct_product_category_import,1,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitsahel,hinterland_idestuffing_port_yard_reefer_20_f_j17
0,HINTERLAND IMPORT - DESTUFFING PORT YARD REEFER 40' FULL,0,0,generic,1,lct_product_category_import,1,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitsahel,hinterland_idestuffing_port_yard_reefer_40_f_j17
0,HINTERLAND IMPORT - LOADING ON TRUCK REEFER 20' FULL,0,0,generic,0,lct_product_category_import,1,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitsahel,hinterland_iloading_ot_reefer_20_f_j17
0,HINTERLAND IMPORT - LOADING ON TRUCK REEFER 40' FULL,0,0,generic,0,lct_product_category_import,1,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitsahel,hinterland_iloading_ot_reefer_40_f_j17
0,HINTERLAND IMPORT - DESTUFFING PORT YARD DANGEROUS PRODUCTS 20' FULL,0,0,generic,1,lct_product_category_import,0,1,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitsahel,hinterland_idestuffing_port_yard_dangerous_p_20_f_j17
0,HINTERLAND IMPORT - DESTUFFING PORT YARD DANGEROUS PRODUCTS 40' FULL,0,0,generic,1,lct_product_category_import,0,1,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitsahel,hinterland_idestuffing_port_yard_dangerous_p_40_f_j17
0,HINTERLAND IMPORT - LOADING ON TRUCK DANGEROUS PRODUCTS 20' FULL,0,0,generic,0,lct_product_category_import,0,1,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitsahel,hinterland_iloading_ot_dangerous_p_20_f_j17
0,HINTERLAND IMPORT - LOADING ON TRUCK DANGEROUS PRODUCTS 40' FULL,0,0,generic,0,lct_product_category_import,0,1,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitsahel,hinterland_iloading_ot_dangerous_p_40_f_j17
1,HINTERLAND IMPORT - DESTUFFING PORT YARD Out Of Gauge (OOG) 20' FULL,0,0,generic,1,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitsahel,hinterland_idestuffing_port_yard_out_of_gauge_oog_20_f_j17
1,HINTERLAND IMPORT - DESTUFFING PORT YARD Out Of Gauge (OOG) 40' FULL,0,0,generic,1,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitsahel,hinterland_idestuffing_port_yard_out_of_gauge_oog_40_f_j17
